,mean,median,mode,min,max
SK_ID_CURR,278180.51857657125,278202.0,100002.0,100002.0,456255.0
TARGET,0.08072881945686496,0.0,0.0,0.0,1.0
CNT_CHILDREN,0.4170517477423572,0.0,0.0,0.0,19.0
AMT_INCOME_TOTAL,168797.9192969845,147150.0,135000.0,25650.0,117000000.0
AMT_CREDIT,599025.9997057016,513531.0,450000.0,45000.0,4050000.0
AMT_ANNUITY,27108.48784108536,24903.0,9000.0,1615.5,258025.5
AMT_GOODS_PRICE,538316.2943667056,450000.0,450000.0,40500.0,4050000.0
REGION_POPULATION_RELATIVE,0.020868112057780035,0.01885,0.035792,0.00029,0.072508
DAYS_BIRTH,-16036.995066843137,-15750.0,-13749.0,-25229.0,-7489.0
DAYS_EMPLOYED,-2251.6061311627877,-1648.0,-1648.0,-17912.0,0.0
DAYS_REGISTRATION,-4986.120327538418,-4504.0,-1.0,-24672.0,0.0
DAYS_ID_PUBLISH,-2994.2023732484367,-3254.0,-4053.0,-7197.0,0.0
OWN_CAR_AGE,10.04105219000296,9.0,9.0,0.0,91.0
FLAG_MOBIL,0.9999967480838083,1.0,1.0,0.0,1.0
FLAG_EMP_PHONE,0.8198893698111612,1.0,1.0,0.0,1.0
FLAG_WORK_PHONE,0.1993684778755882,0.0,0.0,0.0,1.0
FLAG_CONT_MOBILE,0.9981334001060125,1.0,1.0,0.0,1.0
FLAG_PHONE,0.28106636835755466,0.0,0.0,0.0,1.0
FLAG_EMAIL,0.0567199222141647,0.0,0.0,0.0,1.0
CNT_FAM_MEMBERS,2.1526644575316003,2.0,2.0,1.0,20.0
REGION_RATING_CLIENT,2.0524631639193394,2.0,2.0,1.0,3.0
REGION_RATING_CLIENT_W_CITY,2.031520823645333,2.0,2.0,1.0,3.0
HOUR_APPR_PROCESS_START,12.063418869568894,12.0,10.0,0.0,23.0
REG_REGION_NOT_LIVE_REGION,0.015144173704355291,0.0,0.0,0.0,1.0
REG_REGION_NOT_WORK_REGION,0.05076891558350758,0.0,0.0,0.0,1.0
LIVE_REGION_NOT_WORK_REGION,0.04065870814377372,0.0,0.0,0.0,1.0
REG_CITY_NOT_LIVE_CITY,0.07817281333025486,0.0,0.0,0.0,1.0
REG_CITY_NOT_WORK_CITY,0.23045354475124466,0.0,0.0,0.0,1.0
LIVE_CITY_NOT_WORK_CITY,0.17955455252007246,0.0,0.0,0.0,1.0
EXT_SOURCE_1,0.5043106959340373,0.5059979305057544,0.5059979305057544,0.0145681324124455,0.962692770561306
EXT_SOURCE_2,0.514503354322039,0.5659614260608526,0.2858978721410488,8.173616518884397e-08,0.8549996664047012
EXT_SOURCE_3,0.5156949091808122,0.5352762504724826,0.5352762504724826,0.0005272652387098,0.8960095494948396
APARTMENTS_AVG,0.10229652662831573,0.0876,0.0876,0.0,1.0
BASEMENTAREA_AVG,0.08133708355148273,0.0763,0.0763,0.0,1.0
YEARS_BEGINEXPLUATATION_AVG,0.9796203137448742,0.9816,0.9816,0.0,1.0
ELEVATORS_AVG,0.03686885997574071,0.0,0.0,0.0,1.0
ENTRANCES_AVG,0.14377109436735597,0.1379,0.1379,0.0,1.0
FLOORSMAX_AVG,0.19663346059165365,0.1667,0.1667,0.0,1.0
LANDAREA_AVG,0.05550691422420661,0.0481,0.0481,0.0,1.0
LIVINGAREA_AVG,0.09088590717080039,0.0745,0.0745,0.0,1.0
NONLIVINGAREA_AVG,0.01469663361635844,0.0036,0.0036,0.0,1.0
APARTMENTS_MODE,0.09888885275648675,0.084,0.084,0.0,1.0
BASEMENTAREA_MODE,0.07996936792504983,0.0746,0.0746,0.0,1.0
YEARS_BEGINEXPLUATATION_MODE,0.9792774102389835,0.9816,0.9816,0.0,1.0
ELEVATORS_MODE,0.03478970150661277,0.0,0.0,0.0,1.0
ENTRANCES_MODE,0.1415208948622976,0.1379,0.1379,0.0,1.0
FLOORSMAX_MODE,0.19464054293992739,0.1667,0.1667,0.0,1.0
LANDAREA_MODE,0.05358247639921824,0.0458,0.0458,0.0,1.0
LIVINGAREA_MODE,0.08947396906126934,0.0731,0.0731,0.0,1.0
NONLIVINGAREA_MODE,0.012718600310232803,0.0011,0.0011,0.0,1.0
APARTMENTS_MEDI,0.10188917111908193,0.0864,0.0864,0.0,1.0
BASEMENTAREA_MEDI,0.08084232531519198,0.0758,0.0758,0.0,1.0
YEARS_BEGINEXPLUATATION_MEDI,0.9796292288731138,0.9816,0.9816,0.0,1.0
ELEVATORS_MEDI,0.03646549229133267,0.0,0.0,0.0,1.0
ENTRANCES_MEDI,0.14351693500395107,0.1379,0.1379,0.0,1.0
FLOORSMAX_MEDI,0.19643988052459913,0.1667,0.1667,0.0,1.0
LANDAREA_MEDI,0.05620260836197729,0.0487,0.0487,0.0,1.0
LIVINGAREA_MEDI,0.09168820399920652,0.0749,0.0749,0.0,1.0
NONLIVINGAREA_MEDI,0.014366129666906223,0.0031,0.0031,0.0,1.0
TOTALAREA_MODE,0.0862576489946701,0.0688,0.0688,0.0,1.0
OBS_30_CNT_SOCIAL_CIRCLE,1.4175232755901415,0.0,0.0,0.0,348.0
DEF_30_CNT_SOCIAL_CIRCLE,0.14294448003486054,0.0,0.0,0.0,34.0
OBS_60_CNT_SOCIAL_CIRCLE,1.4006263190585053,0.0,0.0,0.0,344.0
DEF_60_CNT_SOCIAL_CIRCLE,0.09971675809971026,0.0,0.0,0.0,24.0
DAYS_LAST_PHONE_CHANGE,-962.8581188965597,-757.0,0.0,-4292.0,0.0
FLAG_DOCUMENT_2,4.2274910491006824e-05,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_3,0.7100233812774177,1.0,1.0,0.0,1.0
FLAG_DOCUMENT_4,8.129790479039775e-05,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_5,0.015114906458630749,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_6,0.0880553866365756,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_7,0.00019186305530533867,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_8,0.08137595077899652,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_9,0.00389579559755586,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_10,2.276341334131137e-05,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_11,0.003912055178513939,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_12,6.503832383231819e-06,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_13,0.003525077151711646,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_14,0.0029364803210291664,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_15,0.0012097128232811183,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_16,0.009928100133003373,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_17,0.0002666571277125046,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_18,0.008129790479039774,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_19,0.0005951006630657115,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_20,0.0005072989258920819,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_21,0.0003349473677364387,0.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.005538013274321894,0.0,0.0,0.0,4.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0060550679487888235,0.0,0.0,0.0,9.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.029722513991369416,0.0,0.0,0.0,8.0
AMT_REQ_CREDIT_BUREAU_MON,0.23129253912868158,0.0,0.0,0.0,27.0
AMT_REQ_CREDIT_BUREAU_QRT,0.22963080995476584,0.0,0.0,0.0,261.0
AMT_REQ_CREDIT_BUREAU_YEAR,1.778463209446166,1.0,1.0,0.0,25.0
EXT_SOURCE_1_MISSING,0.5638107254699832,1.0,1.0,0.0,1.0
OWN_CAR_AGE_MISSING,0.6599081008484249,1.0,1.0,0.0,1.0
DAYS_EMPLOYED_PLACEHOLDER,0.18007160719453938,0.0,0.0,0.0,1.0
AGE_YEARS,43.93697278587161,43.15068493150685,37.66849315068493,20.517808219178082,69.12054794520547
EMPLOYMENT_YEARS,6.168783920993938,4.515068493150685,4.515068493150685,0.0,49.07397260273972
EXT_SOURCE_MEAN,0.5092597522942143,0.5245019540617536,0.5245019540617536,5.9396509293128426e-06,0.878903368632926
OCCUPATION_TYPE_FREQ,0.1622949780457223,0.10439301358325394,0.31345545362604915,0.0017105079167899686,0.31345545362604915
ORGANIZATION_TYPE_FREQ,0.10792549076339218,0.12491260475235032,0.22110428570034893,7.804598859878183e-05,0.22110428570034893
NAME_CONTRACT_TYPE_Revolving_loans,0.09521285417432222,0.0,0.0,0.0,1.0
CODE_GENDER_M,0.34164306317497584,0.0,0.0,0.0,1.0
CODE_GENDER_XNA,1.3007664766463638e-05,0.0,0.0,0.0,1.0
FLAG_OWN_CAR_Y,0.34010815873253314,0.0,0.0,0.0,1.0
FLAG_OWN_REALTY_Y,0.6936727466659729,1.0,1.0,0.0,1.0
NAME_TYPE_SUITE_Family,0.13056118317718715,0.0,0.0,0.0,1.0
NAME_TYPE_SUITE_Group_of_people,0.0008812692879279115,0.0,0.0,0.0,1.0
NAME_TYPE_SUITE_Other_A,0.002816159421939378,0.0,0.0,0.0,1.0
NAME_TYPE_SUITE_Other_B,0.0057558916591601604,0.0,0.0,0.0,1.0
NAME_TYPE_SUITE_Spouse__partner,0.03697428709867289,0.0,0.0,0.0,1.0
NAME_TYPE_SUITE_Unaccompanied,0.8123871991571033,1.0,1.0,0.0,1.0
NAME_INCOME_TYPE_Commercial_associate,0.2328924818949566,0.0,0.0,0.0,1.0
NAME_INCOME_TYPE_Maternity_leave,1.6259580958079547e-05,0.0,0.0,0.0,1.0
NAME_INCOME_TYPE_Pensioner,0.18003258420024,0.0,0.0,0.0,1.0
NAME_INCOME_TYPE_State_servant,0.07057633710664009,0.0,0.0,0.0,1.0
NAME_INCOME_TYPE_Student,5.8534491449086374e-05,0.0,0.0,0.0,1.0
NAME_INCOME_TYPE_Unemployed,7.154215621555002e-05,0.0,0.0,0.0,1.0
NAME_INCOME_TYPE_Working,0.5163197414076245,1.0,1.0,0.0,1.0
NAME_EDUCATION_TYPE_Higher_education,0.24344820185294186,0.0,0.0,0.0,1.0
NAME_EDUCATION_TYPE_Incomplete_higher,0.0334199427012367,0.0,0.0,0.0,1.0
NAME_EDUCATION_TYPE_Lower_secondary,0.012409312187206312,0.0,0.0,0.0,1.0
NAME_EDUCATION_TYPE_Secondary___secondary_special,0.7101892290031901,1.0,1.0,0.0,1.0
NAME_FAMILY_STATUS_Married,0.6387804013514964,1.0,1.0,0.0,1.0
NAME_FAMILY_STATUS_Separated,0.06429038310824653,0.0,0.0,0.0,1.0
NAME_FAMILY_STATUS_Single___not_married,0.14778007941179339,0.0,0.0,0.0,1.0
NAME_FAMILY_STATUS_Unknown,6.503832383231819e-06,0.0,0.0,0.0,1.0
NAME_FAMILY_STATUS_Widow,0.05231682769071676,0.0,0.0,0.0,1.0
NAME_HOUSING_TYPE_House___apartment,0.8873438673738501,1.0,1.0,0.0,1.0
NAME_HOUSING_TYPE_Municipal_apartment,0.03636617877084072,0.0,0.0,0.0,1.0
NAME_HOUSING_TYPE_Office_apartment,0.008510264673458836,0.0,0.0,0.0,1.0
NAME_HOUSING_TYPE_Rented_apartment,0.015872602931277256,0.0,0.0,0.0,1.0
NAME_HOUSING_TYPE_With_parents,0.0482584362835801,0.0,0.0,0.0,1.0
WEEKDAY_APPR_PROCESS_START_MONDAY,0.16491767774160923,0.0,0.0,0.0,1.0
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.11008386691858177,0.0,0.0,0.0,1.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.052619255896537036,0.0,0.0,0.0,1.0
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.1645176920500405,0.0,0.0,0.0,1.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.17528153464428914,0.0,0.0,0.0,1.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.16888501549538065,0.0,0.0,0.0,1.0
